genre,ROI
Action,2.456369575505368
Adventure,3.63406278778719
Animation,5.272172686024897
Biography,1.942307938846154
Comedy,3.0764552266702903
Crime,1.839705058967949
Documentary,12.630592675238804
Drama,3.262464799199095
Family,3.846567634566038
Fantasy,3.047705811302857
Film-Noir,4.698757498428571
History,1.4587943973557047
Horror,9.096581655098683
Music,4.059990732634483
Musical,2.9911227388928574
Mystery,6.595168443205379
News,52.365925
Romance,3.70446713975
Sci-Fi,3.913568179691293
Sport,4.274164796078948
Thriller,4.831658682723054
War,5.872518850639534
Western,2.555898363818182
Unknown,2.2460618715000003
